,Domain Code,Domain,M49,Area,Element Code,Element,Item Code (FAO),Item,Year,Unit,Value,Flag,Flag Description
48,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,125,Cassava,2012,hg/ha,166667,Fc,Calculated data
49,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,125,Cassava,2013,hg/ha,162162,Fc,Calculated data
50,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,125,Cassava,2014,hg/ha,163750,Fc,Calculated data
51,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,125,Cassava,2015,hg/ha,176141,Fc,Calculated data
52,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1990,hg/ha,38571,Fc,Calculated data
53,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1991,hg/ha,40526,Fc,Calculated data
54,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1992,hg/ha,40667,Fc,Calculated data
55,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1993,hg/ha,40357,Fc,Calculated data
56,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1994,hg/ha,40333,Fc,Calculated data
57,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1995,hg/ha,40541,Fc,Calculated data
58,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1996,hg/ha,40000,Fc,Calculated data
59,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1997,hg/ha,39762,Fc,Calculated data
60,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1998,hg/ha,39500,Fc,Calculated data
61,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",1999,hg/ha,39773,Fc,Calculated data
62,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2000,hg/ha,40000,Fc,Calculated data
63,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2001,hg/ha,40167,Fc,Calculated data
64,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2002,hg/ha,40000,Fc,Calculated data
65,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2003,hg/ha,40000,Fc,Calculated data
66,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2004,hg/ha,40000,Fc,Calculated data
67,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2005,hg/ha,41444,Fc,Calculated data
68,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2006,hg/ha,41500,Fc,Calculated data
69,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2007,hg/ha,40164,Fc,Calculated data
70,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2008,hg/ha,41667,Fc,Calculated data
71,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2009,hg/ha,43014,Fc,Calculated data
72,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2010,hg/ha,43896,Fc,Calculated data
73,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2011,hg/ha,45190,Fc,Calculated data
74,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,401,"Chillies and peppers, green",2012,hg/ha,48000,Fc,Calculated data
