lat,lon,country
-89.53125,0.703125,Antarctica
-89.53125,2.109375,Antarctica
-89.53125,3.515625,Antarctica
-89.53125,4.921875,Antarctica
-89.53125,6.328125,Antarctica
-89.53125,7.734375,Antarctica
-89.53125,9.140625,Antarctica
-89.53125,10.546875,Antarctica
-89.53125,11.953125,Antarctica
-89.53125,13.359375,Antarctica
-89.53125,14.765625,Antarctica
-89.53125,16.171875,Antarctica
-89.53125,17.578125,Antarctica
-89.53125,18.984375,Antarctica
-89.53125,20.390625,Antarctica
-89.53125,21.796875,Antarctica
-89.53125,23.203125,Antarctica
-89.53125,24.609375,Antarctica
-89.53125,26.015625,Antarctica
-89.53125,27.421875,Antarctica
-89.53125,28.828125,Antarctica
-89.53125,30.234375,Antarctica
-89.53125,31.640625,Antarctica
-89.53125,33.046875,Antarctica
-89.53125,34.453125,Antarctica
-89.53125,35.859375,Antarctica
-89.53125,37.265625,Antarctica
-89.53125,38.671875,Antarctica
-89.53125,40.078125,Antarctica
-89.53125,41.484375,Antarctica
-89.53125,42.890625,Antarctica
-89.53125,44.296875,Antarctica
-89.53125,45.703125,Antarctica
-89.53125,47.109375,Antarctica
-89.53125,48.515625,Antarctica
-89.53125,49.921875,Antarctica
-89.53125,51.328125,Antarctica
-89.53125,52.734375,Antarctica
-89.53125,54.140625,Antarctica
-89.53125,55.546875,Antarctica
-89.53125,56.953125,Antarctica
-89.53125,58.359375,Antarctica
-89.53125,59.765625,Antarctica
-89.53125,61.171875,Antarctica
-89.53125,62.578125,Antarctica
-89.53125,63.984375,Antarctica
-89.53125,65.390625,Antarctica
-89.53125,66.796875,Antarctica
-89.53125,68.203125,Antarctica
-89.53125,69.609375,Antarctica
-89.53125,71.015625,Antarctica
-89.53125,72.421875,Antarctica
-89.53125,73.828125,Antarctica
-89.53125,75.234375,Antarctica
-89.53125,76.640625,Antarctica
-89.53125,78.046875,Antarctica
-89.53125,79.453125,Antarctica
-89.53125,80.859375,Antarctica
-89.53125,82.265625,Antarctica
-89.53125,83.671875,Antarctica
-89.53125,85.078125,Antarctica
-89.53125,86.484375,Antarctica
-89.53125,87.890625,Antarctica
-89.53125,89.296875,Antarctica
-89.53125,90.703125,Antarctica
-89.53125,92.109375,Antarctica
-89.53125,93.515625,Antarctica
-89.53125,94.921875,Antarctica
-89.53125,96.328125,Antarctica
-89.53125,97.734375,Antarctica
-89.53125,99.140625,Antarctica
-89.53125,100.546875,Antarctica
-89.53125,101.953125,Antarctica
-89.53125,103.359375,Antarctica
-89.53125,104.765625,Antarctica
-89.53125,106.171875,Antarctica
-89.53125,107.578125,Antarctica
-89.53125,108.984375,Antarctica
-89.53125,110.390625,Antarctica
-89.53125,111.796875,Antarctica
-89.53125,113.203125,Antarctica
-89.53125,114.609375,Antarctica
-89.53125,116.015625,Antarctica
-89.53125,117.421875,Antarctica
-89.53125,118.828125,Antarctica
-89.53125,120.234375,Antarctica
-89.53125,121.640625,Antarctica
-89.53125,123.046875,Antarctica
-89.53125,124.453125,Antarctica
-89.53125,125.859375,Antarctica
-89.53125,127.265625,Antarctica
-89.53125,128.671875,Antarctica
-89.53125,130.078125,Antarctica
-89.53125,131.484375,Antarctica
-89.53125,132.890625,Antarctica
-89.53125,134.296875,Antarctica
-89.53125,135.703125,Antarctica
-89.53125,137.109375,Antarctica
-89.53125,138.515625,Antarctica
-89.53125,139.921875,Antarctica
-89.53125,141.328125,Antarctica
-89.53125,142.734375,Antarctica
-89.53125,144.140625,Antarctica
-89.53125,145.546875,Antarctica
-89.53125,146.953125,Antarctica
-89.53125,148.359375,Antarctica
-89.53125,149.765625,Antarctica
-89.53125,151.171875,Antarctica
-89.53125,152.578125,Antarctica
-89.53125,153.984375,Antarctica
-89.53125,155.390625,Antarctica
-89.53125,156.796875,Antarctica
-89.53125,158.203125,Antarctica
-89.53125,159.609375,Antarctica
-89.53125,161.015625,Antarctica
-89.53125,162.421875,Antarctica
-89.53125,163.828125,Antarctica
-89.53125,165.234375,Antarctica
-89.53125,166.640625,Antarctica
-89.53125,168.046875,Antarctica
-89.53125,169.453125,Antarctica
-89.53125,170.859375,Antarctica
-89.53125,172.265625,Antarctica
-89.53125,173.671875,Antarctica
-89.53125,175.078125,Antarctica
-89.53125,176.484375,Antarctica
-89.53125,177.890625,Antarctica
-89.53125,179.296875,Antarctica
-89.53125,180.703125,Antarctica
-89.53125,182.109375,Antarctica
-89.53125,183.515625,Antarctica
-89.53125,184.921875,Antarctica
-89.53125,186.328125,Antarctica
