name,region,country-code,region-code,gfsi,surfacetempanomaly,precipitationflux,gdp,population,migration
Algeria,Africa,12.0,2.0,62.86666666666667,21.521313333333353,3.1792987e-05,3812.84834775419,43044170.666666664,1985170.0
Angola,Africa,24.0,2.0,40.46666666666667,28.87619333333335,0.00010654909,2625.1456503511267,31833784.666666668,658110.0
Azerbaijan,Asia,31.0,142.0,60.73333333333333,15.771556666666697,3.319543633333333e-05,4589.000968807194,10019058.333333334,1157207.0
Argentina,Americas,32.0,19.0,64.36666666666667,15.598700000000028,2.0769597e-05,10143.605033350177,44936659.0,1049687.0
Australia,Oceania,36.0,9.0,75.96666666666667,22.387706666666684,4.8364114333333335e-05,54578.79395981343,25347233.333333332,582643.3333333334
Austria,Europe,40.0,150.0,79.33333333333333,8.65697000000002,4.6373544666666666e-05,50063.211998749095,8879101.666666666,583638.3333333334
Bangladesh,Asia,50.0,142.0,51.43333333333334,26.968673333333356,3.0979094e-05,1838.49530793297,163037423.0,7287666.333333333
Belgium,Europe,56.0,150.0,77.3,7.436743333333368,4.0090151000000004e-05,46446.532354617164,11486758.333333334,565129.0
Bolivia (Plurinational State of),Americas,68.0,19.0,60.166666666666664,27.15360000000004,1.1714093999999999e-05,3411.2529088812767,11513090.333333334,906596.3333333334
Botswana,Africa,72.0,2.0,55.63333333333333,24.554256666666692,4.845589633333333e-05,7037.280913728439,2303131.6666666665,61907.333333333336
Brazil,Americas,76.0,19.0,66.73333333333333,27.418966666666677,4.680074566666667e-05,8281.926413249807,211026082.66666666,1818548.3333333333
Bulgaria,Europe,100.0,150.0,67.2,12.49430000000003,5.2197633666666666e-05,9801.724228736219,6978271.0,1582384.0
Myanmar,Asia,104.0,142.0,54.76666666666667,27.619633333333354,4.3878567e-05,1329.6298491355535,54054511.333333336,3537899.3333333335
Burundi,Africa,108.0,2.0,35.43333333333334,28.383793333333358,1.6029157e-05,235.32926070696533,11532245.666666666,532879.3333333334
Belarus,Europe,112.0,150.0,71.8,8.907943333333359,3.931906666666667e-05,6540.64415850119,9412831.666666666,1480877.0
Cambodia,Asia,116.0,142.0,52.800000000000004,28.63545000000001,3.132567566666667e-05,1566.3058784106834,16485102.666666666,1098769.3333333333
Cameroon,Africa,120.0,2.0,44.833333333333336,29.167466666666694,7.691018333333333e-05,1551.8221469536932,25879504.0,422606.3333333333
Canada,Americas,124.0,19.0,77.13333333333333,-3.869889999999998,1.6369912666666666e-05,45378.52470774647,37567839.333333336,1286573.3333333333
Sri Lanka,Asia,144.0,142.0,57.76666666666667,28.179406666666676,0.00011062481666666667,3864.04910311369,21797333.333333332,1899270.3333333333
Chad,Africa,148.0,2.0,41.9,27.361520000000024,4.624434933333334e-05,698.3203650803267,15950156.0,216096.0
Chile,Americas,152.0,19.0,72.93333333333334,13.253096666666693,2.4460779333333334e-05,14620.520988776232,18932470.0,638643.0
China,Asia,156.0,142.0,72.63333333333334,16.821253333333345,4.8532011666666665e-05,10161.318454456175,1407144787.3333333,10417099.0
Colombia,Americas,170.0,19.0,65.13333333333334,29.393566666666686,7.667062833333333e-05,6163.03962224305,50294461.0,2959156.0
"Congo, Democratic Republic of the",Africa,180.0,2.0,36.300000000000004,28.818496666666665,4.6175752e-05,561.8248737999427,86806688.0,1780099.3333333333
Costa Rica,Americas,188.0,19.0,71.56666666666666,29.259090000000032,7.107068800000001e-05,12440.035335593531,5047039.333333333,147840.0
Czechia,Europe,203.0,150.0,78.60000000000001,8.224820000000022,4.3717206999999995e-05,23337.7946704685,10666552.0,984841.3333333334
Benin,Africa,204.0,2.0,45.63333333333333,29.152840000000026,8.756672999999999e-05,1250.7939253776801,11803128.0,672446.0
Denmark,Europe,208.0,150.0,77.5,6.280383333333361,3.291564933333333e-05,60810.3267989237,5813154.0,252986.0
Dominican Republic,Americas,214.0,19.0,65.86666666666666,26.468783333333345,4.9920237000000005e-05,7866.986038800824,10738002.666666666,1577774.0
Ecuador,Americas,218.0,19.0,59.96666666666667,28.05849333333335,7.117464166666667e-05,6039.61630995527,17367025.333333332,1128467.3333333333
